Date,Product,Category,Region,Sales,Profit,Quantity,Customer_Name
2023-11-12,Webcam HD,Electronics,West,1740.00,522.00,30,Nexus Ventures
2023-11-15,Laptop Stand,Electronics,North,1800.00,540.00,22,Apex Solutions
2023-11-19,Headphones,Electronics,South,2670.00,801.00,24,Skyline Corp
2023-11-22,Widget Pro,Electronics,East,2850.00,855.00,15,BluePeak Ltd
2023-11-26,Filing Cabinet,Furniture,West,1520.00,456.00,12,CoreTech Inc
2023-12-01,Widget Pro,Electronics,North,3450.00,1035.00,18,Acme Corp
2023-12-05,Keyboard Pro,Electronics,South,2800.00,840.00,22,TechStart Ltd
2023-12-08,Office Desk,Furniture,East,3220.00,966.00,7,GlobalTrade Inc
2023-12-12,Gadget Plus,Electronics,West,3150.00,945.00,14,Nexus Ventures
2023-12-15,Mouse Wireless,Electronics,North,1470.00,441.00,49,Apex Solutions
2023-12-19,Widget Pro,Electronics,South,3800.00,1140.00,20,Skyline Corp
2023-12-22,Monitor 27in,Electronics,East,5460.00,1638.00,14,BluePeak Ltd
2023-12-26,Bookshelf,Furniture,West,1620.00,486.00,6,CoreTech Inc
2024-01-04,Widget Pro,Electronics,North,3200.00,960.00,17,Acme Corp
2024-01-08,Office Chair,Furniture,South,2430.00,729.00,11,TechStart Ltd
2024-01-12,Laptop Stand,Electronics,East,1600.00,480.00,20,GlobalTrade Inc
2024-01-15,Headphones,Electronics,West,2670.00,801.00,24,Nexus Ventures
2024-01-19,USB Hub,Electronics,North,1050.00,315.00,48,Apex Solutions
2024-01-22,Keyboard Pro,Electronics,South,2520.00,756.00,21,Skyline Corp
2024-01-26,Widget Pro,Electronics,East,3050.00,915.00,16,BluePeak Ltd
2024-02-01,Webcam HD,Electronics,West,1740.00,522.00,30,CoreTech Inc
2024-02-05,Widget Pro,Electronics,North,3400.00,1020.00,18,Acme Corp
2024-02-08,Monitor 27in,Electronics,South,5070.00,1521.00,13,TechStart Ltd
2024-02-12,Office Desk,Furniture,East,3450.00,1035.00,7,GlobalTrade Inc
2024-02-15,Gadget Plus,Electronics,West,3360.00,1008.00,15,Nexus Ventures
2024-02-19,Mouse Wireless,Electronics,North,1680.00,504.00,56,Apex Solutions
2024-02-22,Widget Pro,Electronics,South,3750.00,1125.00,20,Skyline Corp
2024-02-26,Desk Lamp,Furniture,East,1110.00,333.00,36,BluePeak Ltd
2024-03-01,Widget Pro,Electronics,West,3950.00,1185.00,21,CoreTech Inc
2024-03-05,Keyboard Pro,Electronics,North,2800.00,840.00,23,Acme Corp
2024-03-08,Office Chair,Furniture,South,2700.00,810.00,12,TechStart Ltd
2024-03-12,Headphones,Electronics,East,3115.00,934.50,28,GlobalTrade Inc
2024-03-15,Laptop Stand,Electronics,West,1760.00,528.00,22,Nexus Ventures
2024-03-19,Widget Pro,Electronics,North,4100.00,1230.00,22,Apex Solutions
2024-03-22,Bookshelf,Furniture,South,1890.00,567.00,7,Skyline Corp
2024-03-26,USB Hub,Electronics,East,1225.00,367.50,56,BluePeak Ltd
